name.out,type.out,retailer.out,size.out,price.out
Queso fundido,appetizer,veracruzana,N,8.5
Queso fundido with chorizo sausage,appetizer,veracruzana,N,9.5
Queso fundido with chicken,appetizer,veracruzana,N,9.5
Sopa azteca,appetizer,veracruzana,N,6
House salad,salad,veracruzana,N,6
House salad with chicken,salad,veracruzana,N,8
House salad with steak,salad,veracruzana,N,11.5
House salad with shrimp,salad,veracruzana,N,11.5
House salad with fish,salad,veracruzana,N,11.5
Primavera,salad,veracruzana,N,8
Tostadas,entree,veracruzana,N,6.5
Tostadas with chicken,entree,veracruzana,N,7.5
Tostadas with beef,entree,veracruzana,N,7.5
Tostadas wit cactus,entree,veracruzana,N,7.5
Tostadas with potato and carrots,entree,veracruzana,N,7.5
Tostadas with steak,entree,veracruzana,N,8
Tostadas with chorizo and egg,entree,veracruzana,N,8
Tacos with beans (2),entree,veracruzana,N,4.5
Tacos with beans and chicken (2),entree,veracruzana,N,6
Tacos with beans and beef (2),entree,veracruzana,N,6
"Tacos with beans, potatoes, and carrots (2)",entree,veracruzana,N,6
Tacos with beans with cactus (2),entree,veracruzana,N,6.5
"Tacos with beans, chorizo, and egg (2)",entree,veracruzana,N,7
Tacos with beans and steak (2),entree,veracruzana,N,8
Tacos with beans and beef tongue (2),entree,veracruzana,N,8
Mexican sandwich chicken,sandwich,veracruzana,N,11
Mexican sandwich steak,sandwich,veracruzana,N,12
Fish tortas mexican sandwich,sandwich,veracruzana,N,12
Quesadillas (3),entree,veracruzana,S,5
Quesadillas (4),entree,veracruzana,L,7.5
Sincronizadas ,entree,veracruzana,S,5
Sincronizadas (2),entree,veracruzana,L,7.5
Shrimp emchilladas,entree,veracruzana,N,16
Huachinando a la veracruzana,entree,veracruzana,N,18.95
Camarones al mojo de ajo,entree,veracruzana,N,19
Pescado en tomatillo,entree,veracruzana,N,16
Fish tacos (2) ,entree,veracruzana,N,9
Burrito (simple),entree,veracruzana,N,6
Burrito with chicken,entree,veracruzana,N,8.5
Burrito with beef,entree,veracruzana,N,8.5
Burrito with potatoes and carrots,entree,veracruzana,N,8.5
Vegetable fajitas,entree,veracruzana,N,7
Steak fajitas,entree,veracruzana,N,8.5
Chicken fajitas,entree,veracruzana,N,8.5
Enchiladas,entree,veracruzana,S,12.5
Enchiladas,entree,veracruzana,L,13
Enfrijoladas,entree,veracruzana,N,9.75
Chiles rellenos,entree,veracruzana,N,13.5
Chiles rellenos with beef and cheese,entree,veracruzana,N,14.5
Taquitos (two),entree,veracruzana,S,9.5
Taquitos (six),entree,veracruzana,L,12.5
Burrito especial,entree,veracruzana,N,11.5
Burrito especial with steak,entree,veracruzana,N,12.5
Burrito especial with shrimp,entree,veracruzana,N,12.5
Burrito especial with fish,entree,veracruzana,N,12.5
Calabacitas,entree,veracruzana,N,11
Enchiladas de domingo,entree,veracruzana,N,12.5
Enchiladas suizas,entree,veracruzana,N,12.5
Chicken enchiladas suizas,entree,veracruzana,N,14.5
Tamales (2),entree,veracruzana,N,11
Tamales (12),entree,veracruzana,L,35
Huevos rancheros,entree,veracruzana,N,11
Puntas de filete,entree,veracruzana,N,19
Pechuga de pollo en mole poblano,entree,veracruzana,N,14
Salvadorian special – pupusas,entree,veracruzana,N,8
Plato durango,entree,veracruzana,N,19.5
Pechuga de pollo ala veracruzana,entree,veracruzana,N,14
Agua fresca,beverage,veracruzana,N,3.5
Guacamole,side,veracruzana,S,3.25
Guacamole,side,veracruzana,L,4.25
Salsa habanera y mango,side,veracruzana,S,2
Sour cream,side,veracruzana,S,0.95
Pico de gallo,side,veracruzana,S,1
Grilled jalapeno,side,veracruzana,S,0.5
Totopos,side,veracruzana,N,3.5
Arroz,side,veracruzana,N,2.45
Potato and carrot,side,veracruzana,N,3
Yuca,side,veracruzana,N,6
Frijoles,side,veracruzana,N,2.45
Arroz and frijoles,side,veracruzana,N,5
Soft corn tortillas,side,veracruzana,N,1
Platanos fritos,side,veracruzana,N,6
Flan,dessert,veracruzana,N,6
Prosciuto americano,appetizer,osteria_vespa,N,6.54
Bresaola,appetizer,osteria_vespa,N,6.54
Sweet sopressata salame di campagna ,appetizer,osteria_vespa,N,6.54
Hot capocollo,appetizer,osteria_vespa,N,6.54
"Prosciuto, bresaola, sopressata, and hot capocollo",appetizer,osteria_vespa,L,22
Caciotta al tartufo,appetizer,osteria_vespa,N,4.5
Coupole,appetizer,osteria_vespa,N,4.5
Taleggio,appetizer,osteria_vespa,N,4.5
Gorgonzola dolce,appetizer,osteria_vespa,N,4.5
"Caciotta, coupole, taleggio, and gorgonzola",appetizer,osteria_vespa,L,16
"Caciotta, coupole, taleggio, gorgonzola, and honey",appetizer,osteria_vespa,L,20
Four cheeses and four salumi,appetizer,osteria_vespa,L,36
Panelle,appetizer,osteria_vespa,N,9
Absinthe roasted olives,appetizer,osteria_vespa,N,5
Spicy calabrian chili prawns,appetizer,osteria_vespa,N,11
Italian meatballs,appetizer,osteria_vespa,N,15
Frito misto,appetizer,osteria_vespa,N,15
Winter salad with local greens,salad,osteria_vespa,N,8
Tuscan arugula salad,salad,osteria_vespa,N,9.5
Burrata salad,salad,osteria_vespa,N,13
Risotto alla barbabietola,entree,osteria_vespa,N,18
Orchiette alla bolognese,entree,osteria_vespa,N,28
Gnudi alla pomodoro,entree,osteria_vespa,N,28
Pan seared sea trout,entree,osteria_vespa,N,28
Roasted veal osso bucco,entree,osteria_vespa,N,29
Duck breast with almond crumb,entree,osteria_vespa,N,27
Pork chop 14 Oz,entree,osteria_vespa,N,32
Salted butter caramel chocolate mousse,dessert,osteria_vespa,N,8
House made cannoli,dessert,osteria_vespa,N,7
Affogato,dessert,osteria_vespa,N,7
Villa dolce sorbetto,dessert,osteria_vespa,N,6
Villa dolce gelatto,dessert,osteria_vespa,N,6
Biscotto,dessert,osteria_vespa,N,2
Vanilla bourbon panna cotta,dessert,osteria_vespa,N,8
Lobster ravioli and chicken,entree,judie,N,24.95
Madeira chicken dinner,entree,judie,N,21.95
Steak and potato combo,entree,judie,N,26.95
Southwest rubbed steak,entree,judie,N,26.95
Steak and mushroom risotto,entree,judie,N,26.95
Roasted garlic salmon,entree,judie,N,23.95
Seafood gumbo,entree,judie,N,24.95
